fpid,doi,search_strategy,selection_criteria,data_analysis,scale,data_in_europe,nb_of_papers,background,objective,impact_matrix,result1,result2,result3,result4,result5,general_conclusion,knowledge_gaps
cover and catch crops,10.1111/1365-2664.13124,"the authors conducted a systematic literature search in two major databases, scopus and web of science (wos) core collection database (sci-expanded index), for studies that compared es or biodiversity with different vegetation management (initial database query 25 january 2016; detailed search terms in appendix s1). this resulted in a total number of 1,429 publications.","1) less than three spatially independent replicates per treatment level, (2) vineyards under plastic or in greenhouses, and (3) treatments not directly manipulating soil or vegetation management in the vineyards (e.g. application of synthetic or external mulches or the use of different fungicide or insecticide treatments) were excluded. in addition, only studies, which reported means and any dispersion measure of the dependent variable (e.g. sd or sem), were used. we contacted the authors of recently published papers with missing data of variance or additional information like irrigation regime of the treatments.","the results are reported as the back-transformed values of the relative percentage of increase (positive values) or decrease (negative values) in comparison to the control treatment. we chose to analyse data with hierarchical mixed-effects meta-analysis models that allow incorporating fixed (moderators), true random effects as well as a nesting factor for effect sizes in the respective sources or articles. as several data points were extracted from a single article, we used the article id as a nesting factor to avoid violating the assumption that effect sizes are independent from each other. we used the rma.mv function of the metafor package (viechtbauer, 2010) for r (r development core team, 2017) to fit mixed-effects models to incorporate the true variation in the effect size variation across studies and the fixed effects by adding moderators (borenstein et al., 2009). the effects of treatment are significant, if the confidence interval (ci) did not overlap with zero.","global. major wine producing regions world-wide except asian countries, new zealand and argentina",y,74,"At the global scale, vineyards are usually managed intensively to optimize wine production without considering possible negative impacts on biodiversity and ecosystem services (ES) such as high soil erosion rates, degradation of soil fertility or contamination of groundwater. Winegrowers regulate competition for water and nutrients between the vines and inter-row vegetation by tilling, mulching and/or herbicide application. Strategies for more sustainable viticulture recommend maintaining vegetation cover in inter-rows, however, there is a lack of knowledge as to what extent this less intensive inter-row management affects biodiversity and associated ES.","the main objective of this study was to perform a meta-analysis to identify, whether extensive vineyard vegetation management practices have consequences on biodiversity and associated es across viticultural regions world-wide. the supposed trade-off between provisioning services of wine yield and quality with other es and biodiversity is of central interest for this study. therefore, we addressed the following research questions: (1) does extensive vineyard vegetation management increase biodiversity and es provision in comparison to conventional practices? (2) which es categories or biodiversity parameters respond positively and which respond negatively to extensive vineyard vegetation management? (3) which environmental parameters alter the response to vineyard management? the outcomes of this study will help to formulate agricultural policy recommendations in order to benefit service-providing biodiversity and associated es.",biodiversity,biodiversity benefitted most from extensive vegetation management with a significant difference to all other ecosystem service types.,the largest mean effect size (m = 53.2%) was observed for biodiversity which was also significantly higher than the other ecosystem service categories.,NA,NA,NA,biodiversity significantly increased (53%) and benefitted most from cover crops or natural vegetation growth for soil cover in vineyards.,NA
cover and catch crops,10.1002/eap.2278,"the authors searched the web of science and cab databases for articles containing “cover crop” or “green manure” or “catch crop” and “greenhouse gas” or “carbon” or “trace gas” or “nitrous oxide” or “methane” or “carbon dioxide.” the search in both databases included all papers published until 6 july 2017 (inclusive). after duplication removal, our search yielded 4,280 publications. however, the literature search did not produce a robust data set for the evaluation of soil trace gas emissions response to cover crops. thus, we only focus on the publications pertaining to soil c.","(1) field-based experiments that contained a cover crop treatment or (2) outside the scope of the review. publications included in the first category were from peer-reviewed journals that contained original data from field experiments. these publications included a cover crop (or catch crop or green manure) treatment. studies in the first category also met the following criteria:
1. the cover crop was not harvested and was grown during fallow periods between cash crops, or, in the case of orchard and vineyard systems, in the rows between trees/vines.
2. the control treatment was (a) a treatment with no cover crop (fallow) or (b) a management system with no cover crop.
3. all other management practices between the treatment and control were similar, e.g., tillage, cash crop rotation, soil amendments. however, there were a few cases where tillage was done in the control and not the experimental treatments to maintain bare ground. we included these studies in our analyses.
4. the experiment occurred in a country within temperate latitude zones, i.e., latitudes from 23.5° to 66.5° north and south of the equator.
5. the response variable or variables measured was soil organic c or soil organic matter.
6. means and sample size were reported for each treatment.
7. the publication included enough management details and data to be recorded. the authors excluded studies that did not meet the criteria above. other studies in the second category included publication types such as book chapters and fact sheets. we also omitted publications where the cover crop was grown and sampled in a lab or greenhouse including incubation, mesocosm, or pot experiments.","the inclusion of multiple effect sizes from the same study often with the same no cover crop control introduces dependency among effect sizes. non-independent effect sizes violate the traditional independency assumption of univariate meta-analyses (rosenthal 1984). to account for the dependency of effect sizes, we applied a multivariate approach using the rma.mv function in the metafor package (viechtbauer 2010). a three-level structure meta-analytic model accounts for three different levels of variance in the model: sampling variance of individual effect sizes, variance between effect sizes from the same study, and, finally, variance between studies (assink and wibbelink 2016). models fit with this function are superior to linear mixed-effect model approaches because traditional linear mixed-effect models mix additive and multiplicative variance components, whereas meta-regression models use additive variance components (thompson and sharp 1999, viechtbauer 2010). we also applied the knapp and hartung (2003) adjustment to each of the models.","global. most publications (n = 27) were from the united states, followed by italy (n = 4), denmark (n = 3), and others in north america, europe, and oceania (n = 6).",y,40,"Increasing the quantity and quality of plant biomass production in space and time can improve the capacity of agroecosystems to capture and store atmospheric carbon (C) in the soil. Cover cropping is a key practice to increase system net primary productivity (NPP) and increase the quantity of high-quality plant residues available for integration into soil organic matter (SOM). Cover crop management and local environmental conditions, however, influence the magnitude of soil C stock change.","the purpose of our study was to quantify the effect of different management, climate, and soil factors on soc response in cover crop systems. the authors used a comprehensive meta-analysis approach to address the following objectives: (1) estimate cover crop effects on soc stocks (0–30 cm) in temperate climates; (2) estimate the relative importance of different cover crop management decisions and their interactions on soc response; and (3) identify important environmental controls on soc response under cover crops. the authors discuss the implications of our findings for cover crops as a negative emissions technology and how the integration of key management factors into decision support tools could improve confidence in soc response estimates.",carbon sequestration,"across the entire data set, cover crops demonstrated a strong, positive effect on soc stock from 0 to 30 cm. the average relative increase of soc stocks under cover crops was 12% (95% ci 7–16%), which is equal to an average increase in soc under cover crops of 1.11 mg c/ha (95% ci 1.07–1.16).","soc response under high cover crop biomass production (>7 mg·ha−1·yr−1) was 30%, which was almost 20% greater than low (12%) or moderate (11%) cover crop biomass production.","grasses and mixtures had strong positive effects on soc when grown as a continuous cover rather than as an overwinter or summer cover crop, respectively. the effect of legume cover crops on soc response was greater under fall, summer, and continuous cover growing windows relative to overwinter.","“time since introduction” of a cover crop was a poor predictor of soc response even after controlling for outliers (p = 0.23; marginal r2 = 0.004 and conditional r2 = 0.083). thus, we were unable to make a robust estimate of the average annual soc stock change from 0 to 30 cm under cover crops. a simple calculation dividing the overall mean (1.11 mg c/ha) by the average time since introduction across the observations in the data set (5.2 yr) indicates an average annual soc stock change of 0.21 mg c·ha−1·yr−1 (95% ci 0.20–0.22). while not robust, this estimate provides a general indication of the expected annual soc stock change with cover crops.",NA,"across the entire data set, cover crops demonstrated a strong, positive effect on soc stock from 0 to 30 cm.","the limited number of observations within certain categories of growing window, climate, cover crop species diversity, and functional type reduces the generalizability of our findings. cover crop growing window as a key management predictor of soil c stock response demonstrates promise, but there are too few observations in the autumn and continuous cover categories to robustly evaluate mechanisms that contribute to higher soc in these systems. in general, most publications provided poor descriptions of cover crop management. while we could usually ascertain data about the type of cover crop species or functional group planted, numerous studies omitted data about termination date and termination method. other sparse data included soil characteristics like bulk density, soil texture, and ph. a little more than one-half of our data set measured aboveground cover crop biomass production, and even fewer measured cover crop c:n ratio. better data reporting and measurements can reduce knowledge gaps and uncertainty around optimal cover crop management for improved selection of cover crop species, planting, and termination dates. this knowledge can help to improve cover crop establishment across growing conditions and maximize biomass cover to increase soil c and provide other environmental co-benefits"
cover and catch crops,10.1007/s10113-018-1447-y,"target literature was selected following the preferred reporting items for systematic reviews and meta-analyses (prisma) framework: identification, screening, eligibility, inclusion (moher et al. 2009) (supplementary fig. sf1). literature searches were conducted in the isi web of knowledge core database targeting peer-reviewed articles published online until april 30, 2015 in two steps. in a first query, we tested it by including a specific management option such as “irrigation” because water shortage is conceived as a potential threat to the mediterranean agricultural system (fader et al. 2016; malek and verburg 2017). the search terms for the first query was thus (“agro*” or “agri*” or “farm*”) and (mediterranean*) and (ecosystem*) and (management*) and (irrigat*) in the topic field. this query yielded 45 papers. then, we strove to capture the diversity of farming practices studied in case studies by not including any à priori restrictive search terms. this additional query was made with combinations of keywords including (“agro*” or “agri*” or “farm*”) and (mediterranean*) and (management*) in the topic field. similarly, we strove to include all papers that contained relevant information on ecosystem services, and a large number of indicators that were used in the literature to quantify the supply of those services. we therefore refrained from using “ecosystem services” as a search term. doing so helped to include relevant papers such as traditional agronomy research out of the domain of ecosystem services. the additional query returned data records for 1,881 peer-reviewed articles.","we selected empirical case studies which measured ecosystem services-related properties both for conservation (treatment) and conventional (control) management options. this step excluded pure simulation modeling studies and reviews. we focused on papers reporting results from the mediterranean basin but included six well-designed papers (see the caption of supplementary fig. sf1) reporting from mediterranean climate regions outside the basin (i.e., south and south west australia, the cape of south africa, central chile, and california.","for the uncertainty analysis, we report the means and 95% confidence intervals (cis) of the wlrr. the cis were constructed by non-parametric bootstrapping (nboot = 10,000) (adams et al. 1997) using the percentile method (davison and hinkley 1997). the bootstrapping was only conducted for management options with more than seven case studies (n≥ 8) as the bootstrap is unreliable when the sample size is too small (efron and tibshirani 1994). for those with the sample size less than 8 (n < 8), we reported the mean weighted response ratio (wlrr) without estimated cis. we considered the effect of treatment as significant if the 95% bootstrap ci did not overlap with zero. to aid interpretation, mean response ratios and lower and upper limits of cis were graphically examined using violin plots (n≥ 8) (adler 2005). when the sample size was less than 8 (n < 8), the strip chart was constructed to visualize data points. all calculations were done in r version 3.3.1 (r core team 2016) using the packages boot (canty and ripley 2017) and vioplot (adler 2005).",mediterranean agroecosystems,y,10,"In the Mediterranean region, the long-term provision of agro-ecosystem services is threatened by accelerating climate change, unsustainable farming practices, and other pressures. Alternative management practices such as conservation agriculture could be expected to ensure sustainability of ecosystem services from Mediterranean agro-ecosystems. Conservation agriculture is characterized by minimal soil disturbance, permanent soil cover, and diversification of crop species.","the objective of this study is to fill this knowledge gap by conducting a meta-analysis on the impact of conservative management practices on ecosystem services in the mediterranean basin based on published literature. our goal is to identify the positive and negative impacts of conservation farming practices on ecosystem services in the mediterranean basin, providing evidence-based recommendations for sustainable land management in the mediterranean basin in the future.",carbon sequestration,"the sample size for mulching, cover cropping, and organic weed management was less than eight. the variance was constructed by nonparametric bootstrapping (nboot = 10000) when the sample size was lager than seven (n ≥ 8). when the sample size is less than eight (n < 8), only strip chart of the effect size was plotted.",NA,NA,NA,NA,"the sample size for mulching, cover cropping, and organic weed management was less than eight and no statistical analysis was carried out. therefore, the result was set as 'uncertain'.",NA
cover and catch crops,10.1016/j.agee.2021.107356,"the authors conducted the systematic search in september 2019 using these search terms. the thomson reuters web of science (https://www.webofknowledge.com) database produced 1335 potential articles based on their titles, abstracts, and keywords. we then filtered articles provided in english and further excluded articles based on web of science’s subject matter filter (e.g., filter out articles on “dermatology” or “philosophy”). these exclusions left us with 1230 candidate articles. next, we searched articles in cabi abstract databases (https://www.cabi.org) using the same search terms listed above and restricted our search to articles with relevant titles rather than titles, abstracts, and keywords. we located 3387 potential articles in english from the cabi database. finally, we used two recent systematic reviews on organic farming practices and soil health (cooper et al., 2016; tully and mcaskill, 2020) to capture any additional articles not found by our systematic search.","published research on organic farming systems (population): the authors included articles in english that reported soil health metrics (soc, mbc) in organic farming systems with and without best management practices (bmps). articles could be published in any year and any location. we only included organic farming systems that had been organically managed for at least 3 years in alignment with usda organic farming criteria (usda, 2019b).
organic farming systems with bmps (treatment): articles had to investigate at least one bmps (e.g., organic amendments, conservation tillage, cover crops, rotation length and complexity). if an article contained multiple levels of a single bmps or investigated multiple bmps, we extracted data for each treatment separately.
organic farming systems without bmps, i.e. organically-managed control groups (control): organically-managed control groups refers to organic systems with the same management except the bmps under investigation (e.g., no organic amendments, conventional tillage, no cover crops, shortened crop rotation).
measured soil health metrics (outcome): articles had to include quantitative measurements for at least one of the following soil health metrics:
1. soil organic carbon (soc) concentrations (g kg−1 soil; %c), 2. soc stocks (kg ha−1),  3. soil organic matter (g kg−1), 4. microbial biomass c (μg g−1)","in all models, we used the inverse-variance method of weighting effect sizes so that more precise measurements (i.e., measurements with lower standard deviation) were given greater weight when calculating an overall effect size (koricheva et al., 2013). we used a random effects model to calculate an average summary effect of organic farming systems (i.e., pairwise observations evaluating all bmps pooled together) vs. organically-managed controls on soc concentrations. first, we fitted a random effects model using topsoil soc data provided in the articles, then we fitted a random effects model using depth-weighted soc data. we assigned each article’s unique id code as the random effect to control for multiple soc data coming from the same article","global. most research occurred in the united states (n = 7), spain (n = 6), india (n = 5), and germany (n = 5).",y,36,The burgeoning primary literature on organic farming now allows direct evaluation of the best management practices (BMPs) within organic farming systems on soil health improvements.,"the main objective of this meta-analysis was to investigate the effect of bmps, such as organic amendments, conservation tillage, and cover cropping, on soil health within organic farming systems. we focused on soil organic carbon (soc).",carbon sequestration,"cover cropping did not show a mean effect different from zero (0.136; ci -0.004/0.277, n=8).",NA,NA,NA,NA,"organic farming systems cover cropping did not show a mean effect different from zero (+0.136; ci -0.004/0.277, n=8), as compared to organic farming systems not using cover crops.",NA
cover and catch crops,10.1016/j.agsy.2019.102736,"literature searches were conducted in scopus, targeting peer reviewed articles published online through july 2019. to obtain the papers listed, the authors used the keywords “almond or olive or citrus or vineyard or grapevine or orchard”, “and” combinations of the following items: “mediterranean climate”, “cover crop”, “intercropping”, “alley crop”, “multicrop”, “agroforestry”, “crop yield” and “soil”.","1) laboratory or greenhouse studies were excluded, and only studies performed in field conditions and carried out in a mediterranean climate were chosen; 2) when several papers included data from the same experiment, the longest study with the most soil and crop variables was chosen.","the authors decided to weight observations using the sample sizes to ensure statistical significance by keeping a sufficient sample size: studies with larger sample sizes were weighted higher during aggregation. for the uncertainty analysis, we reported the means and 95% confidence intervals (cis). the cis were constructed by non-parametric bootstrapping (nboot = 10 000). the bootstrapping was only carried out for treatments with n ≥ 8, as the bootstrap is unreliable when the sample size is too small. the effect of treatment was considered as significant if the 95% bootstrap ci did not overlap with zero.",global (mediterranean climates),y,46,"A meta-analysis specially based on tree crops was conducted to evaluate the changes in soil organic carbon (SOC), soil N and P, and crop yield in a Mediterranean climate, which are affected by: (i) management practices (crop diversification, tillage, fertilization); (ii) environmental characteristics, such as soil clay and climatic variables; and (iii) study length.","assess the implication of crop diversification, tillage and fertilization in mediterranean orchards on soil nutrients, soil organic carbon and crop yield. for this purpose, we compared the use of cover crops in the alleys related to mono-cropping, and the use of organic fertilizers and minimum tillage/no-tillage related to conventional mineral fertilizer and conventional tillage, respectively.",carbon sequestration,both annual and permanent intercropping (cover crops with tree crops) were associated with a significant increase in soc compared to mono-cropping.,"soc was slightly higher in permanent cover crops systems than in annual cover crops systems, with a mean wlog(rr) of 0.33 and 0.17, respectively. on average, c sequestration rate also increased (not statistically significant) by 0.43 mg ha−1 yr−1 in ac and 1.01 mg ha−1 yr-1 in pc, with 60% and 71% of studies showing a positive rate.",NA,NA,NA,both annual and permanent intercropping (cover crops with tree crops) were associated with a significant increase in soc stocks (mg /ha) compared to mono-cropping. results on soc sequestration rates (mg /ha /year) were not statistically significant.,NA
cover and catch crops,10.1016/j.jclepro.2020.125736,"a literature search focusing on publications reporting pairwise comparisons between conventional management and scs practices in vineyards was conducted in october 2019. the search covered the electronic databases of isi web of knowledge and scopus, using the keywords “soil organic carbon”, “soil organic matter” or “soil carbon sequestration” and “vineyard” or “vitis vinifera”. seeking complete coverage, a second search of the same databases used the keywords “cover crop”, “no-tillage”, “amendment”, “biochar”, “hedge”, “agroforestry”, “pruning”, “soil erosion” or “ph” in combination with “vineyard” or “vitis vinifera”. these keywords correspond to scs practices applicable to viticultural soils, to soil properties playing a role in soc sequestration, or to phenomena affecting soc sequestration.","selected studies fulfilled the following criteria: 1) they included experiments measuring soc or som levels within existing vineyards or through experimental manipulation of vineyard management practices; 2) they were performed under field conditions (laboratory studies and pot experiments were excluded) for a minimum period of three years; and 3) they were published in or after 2000. when several studies contained data from the same field experiment, only the longest study was selected to avoid redundancy in the data.","bias-corrected 95% confidence intervals were generated for each weighted mean effect size by bootstrapping procedure with 10,000 iterations, using the r package ‘boot'.","global. the majority of studies (39 out of 50) were conducted in countries of the european union. the largest number of studies was from spain (n = 17), followed by italy (n = 11), france (n = 10), the usa (n = 5), south africa (n = 4), and australia (n = 1), germany (n = 1) and turkey (n = 1).",y,50,Understanding and quantifying the mitigation potential of vineyards is important for future policy decisions in the agriculture sector.,this paper presents a meta-analysis of the response of soc stocks in 0–30 cm depth in vineyards to different soil carbon sequestration (scs) management practices from a global sample of individual field studies. it also compares the changes in soc stocks depending on climate and study length. here we report only the results regarding biochar amendment.,carbon sequestration,the response ratio was significantly higher than 0 for cover crops.,"cover crops were associated with a positive soc stock change rate in time, relative to conventional management. the r averaged 0.058 yr−1 for all practices (cover crops were comparable). this corresponded to an annual soc stock growth rate of +5.8% yr−1 under scs management. the highest value (+7.4% yr−1) was observed for the association of organic amendments + no tillage + cover crops.",annual soc sequestration rates under cover crops were around 4 (95%ci: 2 - 6) mgco2-eq /ha /yr (extracted from figure).,NA,NA,"cover crops were associated with a positive soc stock change, soc change rate in time and annual soc sequestration rate, relative to conventional management.","some sources of uncertainty in our study were due to the fact that our methodology used an approach based on fixed depth to calculate soc stocks. bulk density, which was used with soc concentration and sampling depth to estimate soc stocks, was only provided in a few studies (30%). pedotransfer functions (equation (2) and (3)) were, thus, used to estimate this parameter from the soc concentration reported in the studies. however, there is high uncertainty in the prediction of bulk density using these functions, since specific management practices may affect differently bulk density within a given land use."
cover and catch crops,10.1016/j.landusepol.2019.104204,"the authors searched for relevant data in the publications from a wider review of  mediterranean farming practices (not only cover cropping) (shackelford et al., 2017).  on 7 april 2017, they also searched the web of science for publications from 1900 to 2016 with titles, abstracts, or keywords that included “cover crop*” or “catch crop*” or “green manure” and “mediterranean” or the name of a country that intersects with the mediterranean forests, woodlands, and scrub biome.","1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.","for each metric, if the authors had data from more than two publications, then they used the log response ratio and its variance as inputs into a random-effects meta-analysis, using the metafor package in r (viechtbauer, 2010; r development core team, 2017) and weighting the log response ratio by the inverse of its variance. they included random effects to account for non-independent comparisons within a publication, using the rma.mv function from metafor. to report the results, they transformed the effect sizes and confidence intervals from the log response ratio to the response ratio.","global (mediterranean climate). the authors analysed data from 57 publications that included data from 326 experiments and 1062 comparisons (table 2): 26 publications from a wider review of mediterranean farming practices (shackelford et al., 2017) and 31 publications from our new searches (see file s3 for a list of included publications and a modified prisma flow diagram). the data came from approximately 50 species or mixtures of cover crops, 12 food crops, and 5 countries: italy (24 publications), the united states of america (20 publications), spain (9 publications), france (2 publications), and greece (2 publications).",y,57,"Cover crops are considered to be beneficial for multiple ecosystem services, and they have been widely promoted through the Common Agricultural Policy (CAP) in the EU and Farm Bill Conservation Title Programs, such as the Environmental Quality Incentives Program (EQIP), in the USA. However, it can be difficult to decide whether the beneficial effects of cover crops on some ecosystem services are likely to outweigh their harmful effects on other services, and thus to decide whether they should be promoted by agricultural policy in specific situations.","to quantify the effects of cover crops on five ecosystem services (food production, climate regulation, soil and water regulation, and weed control) in arable farmland in california and the mediterranean. here, only results regarding the effect of green manures on carbon sequestration are reported.",carbon sequestration,"compared to plots without cover crops, plots with cover crops had 9% more organic matter (r = 1.09; ci 1.04 - 1.15).",NA,NA,NA,NA,"in plots with cover crops as green manure there was more carbon stored in soil organic matter (+8%), compared to control plots with bare soils or winter fallows and no fertilization.","effects of cover crops on pollinators, natural enemies, and other forms of biodiversity have only rarely been studied in mediterranean climates."
cover and catch crops,10.1016/j.soilbio.2020.107735,"to gather data for analysis, we collected publications from three sources: (1) the “research landscape tool” that compiled soil health-related publications and research projects into a searchable database (http://www.soilhealthinstituteresearch.org/); (2) cited papers from previous meta-analyses and review papers, specifically poeplau and don (2015), alvarez et al. (2017), sileshi (2009), and gattinger et al. (2012); and (3) scholarship-focused search engines, including isi web of science, google scholar, and the china national knowledge infrastructure (cnki). we accessed the research landscape tool (http://www.soilhealthinstituteresearch.org/home/search/cover-crop) on april 25, 2018, and found all peer-reviewed journal articles listed there under “cover crops”. for search engines, we used the keywords “soil health” or “soil quality” and “cover crop” or “green manure” or “organic farm” to find relevant publications.","(1) experiments were conducted in the field or at a research station; (2) the publications reported comparisons between controls (e.g., nc control plots; baseline soc) and treatments (i.e., with ccs); (3) the publications were either peer-reviewed journal articles, conference collections, theses, or dissertations; and (4) the publications were written in english or chinese.","simple linear regression was used to analyze the relationship between rrsoc and rrx (other variables) for the 32 different soil/agronomic variables recorded from the studies. simple linear regression was also applied to explore the relationship between rrsoc and many other environmental conditions. all statistics were conducted using r (version 3.5.1, r core team, 2014). the meta-analysis was applied using ‘metafor’ package, and the simple linear regressions were applied under r using the linear model (lm) function. we used ‘ggmap’ to generate site spatial distribution.","global. tropical, arid, temperate, and snowy climates.",y,131,"Including cover crops within agricultural rotations may increase soil organic carbon (SOC). However, contradictory findings generated by on-site experiments make it necessary to perform a comprehensive assessment of interactions between cover crops, environmental and management factors, and changes in SOC.","1) quantify cc usage effects on soc concentrations; 2) evaluate how climate type, cc species, and cash crop rotation affected soc dynamics using meta-analysis; 3) identify possible mechanisms for soc changes via correlation with other soil/agronomic variables; and 4) estimate carbon sequestration potential as ccs become applied to various extents within cropland across the globe.",carbon sequestration,"when cover crops were included in rotations, soc increased by an average of 15.5% across all experiments. including only those experiments that reported sd in the original publication showed a 30% increase in soc under cover crops.","legume cover crops, mixtures of two legumes, and mixtures of more than two other cover crops showed significant increases in soc relative to controls, while grass cover crops or grass-legume mixtures did not show significant changes.","the areal extent of global cropland was constrained from six different studies as a = 1960 ± 680 mha. using the overall mean c-rate value of 0.56 mg ha−1 yr−1, average global csequestration values ranged from 0.09 ± 0.03 pg yr−1 (for f = 0.08, which represented the current proportion of acreage managed using ccs in the united states) to 0.16 ± 0.06 pg yr−1 (for f = 0.15) to 1.1 ± 0.4 pg yr−1 (for f = 1.0, which represented all cropland being managed using ccs). carbon sequestration values thus represented 0.5% on the low end to 16% on the high end of current fossil fuel emissions.",NA,NA,"cover cropping caused a 15.5% increase in soc (95% confidence interval of 13.8%–17.3%) in near-surface soils (i.e., ≤30 cm depth).","most existing comparisons reported soil carbon concentration (i.e., soc%) changes without reporting soil bulk density (bd). since bd is necessary to calculate soc stocks, we had to estimate bd for many instances based on correlations developed using reported values (fig. a5). as this process added additional uncertainty to the dataset, we recommend that soil carbon stock and bd should be reported in the future studies. likewise, it is important that studies report sd values whenever possible. substantially fewer data were available for the subsurface layers (>30 cm) compared with the surface layers (≤30 cm). our results suggested that ccs may not change soc concentrations in subsurface soil layers; however, this conclusion may be due to the small sample size (only 38 experiments from 7 studies and only 5 experiments from 3 studies have standard deviation information). because of this uncertainty, future experiments should strive to include samples from subsurface layers, which should help evaluate subsoil benefits of ccs in the future. comparisons collected in this study covered a wide time period (1960–2014) and included samples from various depths and sampling increments. we did not attempt to account for any sampling differences in this study. in addition, most comparisons were reported after less than 5 years of data collection, even though cc effects on soc are often not detectable in the first few years after establishment, due to high spatial field variability or soil heterogeneity. future cc experiments should continue to collect data for mid- (e.g., 5–10 years) and long-term (e.g., >10 years) periods to the extent possible. longer-term data are particularly important to understand maximum sequestration potentials in soils. the ~0.1–~1 mg ha−1 yr−1 carbon sequestration rates found in this study"
cover and catch crops,10.1016/j.still.2017.03.005,"we searched for published results of field experiments in which cover crop effects were evaluated on soils and crops in the pampas. all possible information sources were taken into account. information used came from peer reviewed journals, experimental station technical bulletins and scientific congress proceedings in which full length papers were available. search in peer review journals was performed using scopus and google scholar. combinations of the words cover crops or catch crops or green manure and argentina or pampas or pampean region were used as search terms. a local scientific journal devoted to soil science available on line (ciencia del suelo) was entirely reviewed. an on line search was performed of technical bulletins from the experimental stations of the instituto nacional de tecnología agropecuaria, an official institution devoted to field experimentation and agricultural extension. proceedings of the national soil science congress for the last 26 years (9 proceedings) were also revised.","an experiment had to meet the following criteria: 1) it had to be performed by an official institution under field conditions, 2) management practices had to be similar to those applied under production scenarios, 3) a control treatment under bare fallow had to be compared against at least one cover crop treatment, 4) the cover crop species had to be identified, 5) treatments could differ only in fallow-cover crop management and all other factors (grain crop, varieties, fertilization, etc.) had to be similar, 6) the experimental design had to be clearly described (in three cases we contacted the authors of the experiments for some additional missing information), 7) average and number of replications of the control and the cover crop treatments had to be reported for at least one of the following variables: soil bulk density, soil penetration resistance, structural stability, infiltration, organic carbon content, nitrate-n level, available water content, or yield of soybean or corn, 8) experiment duration and time of measurement had to be indicated, 9) sampling depth of soil properties had to be specified. report of treatment variances was not considered as a requisite in this selection because these were not included in many sources and this would have made the meta-analysis impossible. in around 12% of cases (across all variables and experiments) standard deviation or standard errors were available for the control and cover crop treatments, in which case they were extracted. usually, variability of the reported means was included in one or two studies for each addressed variable.","the statistical significance of the cover crop effect was determined using in(rr). a bias-corrected for skew 95% confidence interval was estimated by bootstrapping resampling methods (adams et al., 1997) performing 1000 iterations. the ln(rr) was considered to be significant (p < 0.05) if its confidence interval did not overlap with one (rosenberg et al., 2000). when the confidence interval of two different ln(rr) did not overlap they were also considered significantly different (p < 0.05).",pampas,n,62,"Cover crops are a valuable management option for reducing soil erosion and nitrogen losses from agroecosystems. They improve soil quality but the impacts on crop yield depend on the type of cover crop, the commercial crop considered and the climate. In the Argentine Pampas the introduction of cover crops in rotations is being extensively studied by official institutions.","our aim was to perform a meta-analysis of available information on winter cover crop effects on physical and chemical soil properties, soil available water content and soybean and corn yield in order to generate possible management recommendations based on an overall evaluation of the impact of this type of crops on local agroecosystems.",carbon sequestration,"soil organic carbon stocks generally improved under cover crops. increases ranged from 0.2 to 8.9 t ha−1 and in only 10% of studied cases, decreases not exceeding 2–3 t c ha−1 were found. these carbon decreases were observed always in experiments of less than five year duration but no carbon reduction was measured after five years. the average increase was around 7% of the carbon content in the 0–20 cm layer.",NA,NA,NA,NA,the average increase due to cover crops was around 7% of the soil carbon content in the 0–20 cm layer.,NA
cover and catch crops,10.1016/j.still.2019.04.020,"peer-reviewed research articles published before june 2017 were searched in google scholar and web of science with the following keywords and phrases:“nitrous oxide emissions, carbon dioxide emissions, greenhouse gas emissions, cover crop, green manure, or catch crop”.","only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",all graphical results were conducted using getdata graph digitizer 2.26. the authors used arandom model metawin 2.1 to compute the mean effect size and generate 95% bootstrapped con-fidence intervals (cis).,global (including eu),y,48,"Cover crops provide multiple agronomic and environmental benefits, such as enhanced soil carbon sequestration, aggregation, water infiltration, and reduced erosion and nutrient leaching compared with no cover crop. However, little is known regarding the effect of cover crop species, biomass quality and quantity, and method of residue placement on greenhouse gas (GHG) emissions.","the objectives were to: 
1) quantify the effect of cover crop characteristics and residue management on co2and n2o emissions in various regions with different soiland climatic conditions,
2) determine which cover crop management practice can reduce ghg emissions.
here, only results regarding the effect of green manures on socare reported.",carbon sequestration,the rrs of cover crops compared to no cover crop were positive for soc. cover crops increased soc by 15% compared to no cover crop.,"incorporation of cover crop residue into the soil increased  soc, while having no effect on soc with residue removal.",the mixed cover crop resulted in a higher soc than legume or nonlegume cover crop.,NA,NA,"cover crops increased soc by 15% compared to no cover crop. incorporation of cover crop residue into the soil increased  soc, while having no effect on soc with residue removal.",NA
