type,subtype,theme,subtheme,practice,subpractice,subpractice_description,Notes,Source,agroecological principle
Animal management,NA,Animals,NA,Feed Addition,Agroforestry Fodders (Added),Feeds added to animal diets that are from agroforestry shrub or tree fodders or other woody plants.,Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition,Animal Manures (Added),Feeds added to animal diets that are animal manures.,Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition,Crop Fodders (Added),"Feeds added to animal diets that come from non-woody crops not usually grown for fodder, but for another purpose (e.g. consumption). These can be crop grain. field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour). Soyabeans fit in this category as they are grown for human consumption and livestock feed.",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition,Non Crop Fodders (Added),"Feeds added to animal diets that are non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.).",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition,Other Feed (Added),"Feeds added to animal diets that are non-plant or non-manure based materials. These typically include materials that are the by-product of animal processing (e.g., bone meal or fish meal).",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition; Feed Substitution,Basal or Conventional Diet,A diet fed to animals without additional of anything.,A control for addition (supplementation) of feeds.,ERA,NA
Animal management,NA,Animals,NA,Feed Addition; Feed Substitution,Conventional Supplement Use,Supplement given to animals by the farmer or deemed control by author and is,A control for addition (supplementation) or substitution of feeds.,ERA,NA
Animal management,NA,Animals,NA,Feed Processing,Chemically Processed Feed,"Fodders that have been chemically processed, for example urea-treated stover or fermented fodders. Silage is a type of fodder made from green foliage crops which have been preserved by acidification, achieved through fermentation.",NA,ERA,NA
Animal management,NA,Animals,NA,Feed Processing,Concentrated Feed,"Non-forage feeds rich in energy and protein. Concentrates include feeds such as maize bran, cotton seed cake, molasses, fish meal and bean cake. Non-forage feeds may use energy or protein rich part plants such as seeds, whereas forage feeds are mainly plant leaves and stems.",NA,ERA,NA
Animal management,NA,Animals,NA,Feed Processing,Mechanically Processed Feed,"Fodders or plant wastes that have been mechanically processed, for example chopped or pelletted grasses or ground orange peel.",NA,ERA,NA
